CountryCode,sfp,kappa,ep
THA,0.960668227843926,0.266519918240162,0.0978399962059703
TJK,0.975861587833124,0.118403780519821,0.185925016110821
TLS,0.986466165413534,0.0828368249087065,0.0778239913457693
TUN,0.972244505053746,0.0797905113986445,0.442749441082644
TUR,0.978638783757778,0.244086505969813,0.296430517136004
TZA,0.994841806767342,0.0620573254166792,0.099976351263668
UGA,0.974467025938167,0.133950463928105,0.0506372836245407
UKR,0.90597753515042,0.279478343131293,0.0608541850300912
UZB,0.957175976553956,0.125379253792538,0.214209676990252
VEN,0.933537832310838,0.215509376583882,0.113845418207581
VNM,0.972331636596221,0.0937696856393896,0.102058665237648
VUT,0.980843686708046,0.135328545691124,0.277580108966664
YEM,0.96822585686009,0.0905112393077382,0.221775956347451
ZAF,0.933431217267651,0.250562519277346,0.0693431263704386
ZMB,0.987977174340811,0.105569223887274,0.0953803894259327
ZWE,0.978043200522922,0.170715799771727,0.0799442906812563
